23 July (predicting logR),,,,,,,,,,24 July (predicting logR/S),,,,,,,,,,Get same answers to 3 decimal points!,
,Estimate,Std..Error,Param,Stocknumber,Name,ar,Round Estimate,Round SD,,,Estimate,Std..Error,Param,Stocknumber,Name,ar,Round Estimate,Round SD,,Check Estimate,Check SE
50,-0.441557205,0.158113893,logSigma,19,Chehalis,FALSE,-0.442,0.158,,50,-0.441557813,0.158113797,logSigma,19,Chehalis,FALSE,-0.442,0.158,,,
51,-0.572559501,0.166666627,logSigma,20,Humptulips,FALSE,-0.573,0.167,,51,-0.572560528,0.166666456,logSigma,20,Humptulips,FALSE,-0.573,0.167,,,
52,-0.624066368,0.166666613,logSigma,21,Queets,FALSE,-0.624,0.167,,52,-0.624068049,0.166666332,logSigma,21,Queets,FALSE,-0.624,0.167,,,
53,-0.384516786,0.133630556,logSigma,22,Skagit,FALSE,-0.385,0.134,,53,-0.384515865,0.133630679,logSigma,22,Skagit,FALSE,-0.385,0.134,,,
54,-0.26723649,0.213200571,logSigma,24,Quillayute,FALSE,-0.267,0.213,,54,-0.267233733,0.213201159,logSigma,24,Quillayute,FALSE,-0.267,0.213,,,
55,0.579186206,0.143336578,SMSY,0,Harrison,FALSE,0.579,0.143,,55,0.579186206,0.14333647,SMSY,0,Harrison,FALSE,0.579,0.143,,,
56,1.533982753,0.232630131,SMSY,1,Stikine,FALSE,1.534,0.233,,56,1.533982347,0.232629595,SMSY,1,Stikine,FALSE,1.534,0.233,,,
57,2.54596051,0.693374238,SMSY,2,Taku,FALSE,2.546,0.693,,57,2.545958305,0.693369164,SMSY,2,Taku,FALSE,2.546,0.693,,,
58,0.362964487,0.058373626,SMSY,3,Unuk,FALSE,0.363,0.058,,58,0.362964433,0.058373508,SMSY,3,Unuk,FALSE,0.363,0.058,,,
59,1.358612311,0.269474055,SMSY,7,KSR,FALSE,1.359,0.269,,59,1.358612227,0.269473282,SMSY,7,KSR,FALSE,1.359,0.269,,,
60,0.626466221,0.081223979,SMSY,8,Andrew Cr,FALSE,0.626,0.081,,60,0.626466222,0.081223873,SMSY,8,Andrew Cr,FALSE,0.626,0.081,,,
61,1.391810198,0.32222803,SMSY,9,Siuslaw,FALSE,1.392,0.322,,61,1.391813572,0.322231164,SMSY,9,Siuslaw,FALSE,1.392,0.322,,,
62,0.710796258,0.093421392,SMSY,12,Niehalem,FALSE,0.711,0.093,,62,0.710796252,0.093421572,SMSY,12,Niehalem,FALSE,0.711,0.093,,,
63,0.579093712,0.063298482,SMSY,13,Lewis,FALSE,0.579,0.063,,63,0.579093678,0.063298465,SMSY,13,Lewis,FALSE,0.579,0.063,,,
64,0.89010097,0.096626866,SMSY,14,Klukshu,FALSE,0.89,0.097,,64,0.890102104,0.096628705,SMSY,14,Klukshu,FALSE,0.89,0.097,,,
65,0.782570272,0.126309072,SMSY,15,Kitsumkalem,FALSE,0.783,0.126,,65,0.782569239,0.126308306,SMSY,15,Kitsumkalem,FALSE,0.783,0.126,,,
66,0.387450803,0.045396842,SMSY,17,Salcha,FALSE,0.387,0.045,,66,0.387450723,0.045396793,SMSY,17,Salcha,FALSE,0.387,0.045,,,
67,0.350789244,0.063890974,SMSY,18,Chena,FALSE,0.351,0.064,,67,0.350788633,0.063890317,SMSY,18,Chena,FALSE,0.351,0.064,,,
68,0.945114789,0.275388127,SMSY,19,Chehalis,FALSE,0.945,0.275,,68,0.945114832,0.275388027,SMSY,19,Chehalis,FALSE,0.945,0.275,,,
69,3.53488115,1.06558187,SMSY,20,Humptulips,FALSE,3.535,1.066,,69,3.534876539,1.065572033,SMSY,20,Humptulips,FALSE,3.535,1.066,,,
70,0.369107721,0.071128295,SMSY,21,Queets,FALSE,0.369,0.071,,70,0.369107885,0.071128352,SMSY,21,Queets,FALSE,0.369,0.071,,,
71,5.472348085,12.0013486,SMSY,22,Skagit,FALSE,5.472,12.001,,71,5.472348085,12.00135965,SMSY,22,Skagit,FALSE,5.472,12.001,,,
72,0.428858175,0.09834384,SMSY,24,Quillayute,FALSE,0.429,0.098,,72,0.4288577,0.098343389,SMSY,24,Quillayute,FALSE,0.429,0.098,,,
73,1.431091355,0.308560047,SREP,0,Harrison,FALSE,1.431,0.309,,73,1.431091355,0.308559813,SREP,0,Harrison,FALSE,1.431,0.309,,,
74,3.632738477,0.484499839,SREP,1,Stikine,FALSE,3.633,0.484,,74,3.63273741,0.484498847,SREP,1,Stikine,FALSE,3.633,0.484,,,
75,6.282435924,1.460609523,SREP,2,Taku,FALSE,6.282,1.461,,75,6.282429705,1.460599052,SREP,2,Taku,FALSE,6.282,1.461,,,
76,0.909177792,0.115705953,SREP,3,Unuk,FALSE,0.909,0.116,,76,0.909177639,0.115705732,SREP,3,Unuk,FALSE,0.909,0.116,,,
77,3.808095174,0.581613461,SREP,7,KSR,FALSE,3.808,0.582,,77,3.80809491,0.581611796,SREP,7,KSR,FALSE,3.808,0.582,,,
78,1.731873178,0.181451203,SREP,8,Andrew Cr,FALSE,1.732,0.181,,78,1.731873174,0.181450968,SREP,8,Andrew Cr,FALSE,1.732,0.181,,,
